,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
0,36005000100,3.72532617,1.019473723,3.156177147,5.39752001,7.256823581,8.421738534,8.505777814,6.917319501,16.0822076,16.26877948,12.53097674,16.59721154
1,36005000200,112.9122929,161.1343716,1014.014884,1150.067019,251.5824386,300.6490371,316.6104607,369.9841099,459.7565612,473.1844255,558.0586621,600.9602662
2,36005000400,192.2901166,274.4125224,1726.871675,1958.569041,428.4459666,512.0065931,539.1889656,630.0845181,782.9673857,805.8350959,950.376283,1023.437898
3,36005001600,117.1236209,167.1440252,1051.8306,1192.956399,260.9654179,311.8620206,328.4186732,383.7829007,476.9032505,490.8321789,578.8716412,623.3733169
4,36005001900,1413.904792,1830.492432,2150.630181,2658.655883,2480.206427,2813.615782,2964.564175,3629.158195,4260.089448,4595.054531,4917.079026,5184.914802
5,36005002000,95.51125666,136.3017784,857.7439482,972.8289403,212.8107955,254.3156871,267.8172784,312.9654566,388.9029777,400.2614593,472.055635,508.3456263
6,36005002300,90.31422793,116.9198759,137.350651,169.7821574,158.3989134,179.6888013,189.3269725,231.7725118,272.0702693,293.4675462,314.0325577,331.1342709
7,36005002400,172.3294508,245.7259928,1554.333284,1762.407814,383.5169277,458.3011812,482.7527364,564.2747159,700.6947315,721.3118472,850.3753266,915.6033962
8,36005002500,110.2712818,142.7560738,167.7015095,207.2995203,193.4008807,219.3952703,231.1632222,282.9881023,332.1905975,358.3161063,383.425441,404.3061801
9,36005002701,71.83821434,93.00101768,109.2521714,135.0490094,125.9944901,142.9290037,150.5954481,184.3577005,216.411553,233.4314866,249.7894153,263.3925493
10,36005002702,135.9739307,176.0304602,206.7903179,255.6180552,238.4798428,270.5331505,285.0440426,348.9485564,409.6194453,441.8344342,472.7963935,498.5441324
11,36005002800,107.5025093,153.217126,969.192722,1098.908922,239.1095408,285.7256218,300.9993254,351.9084867,436.8385394,449.7529708,530.0990758,570.7328536
12,36005003100,135.0471757,174.8309662,205.3817354,253.8768579,236.8564292,268.6916554,283.1041079,346.5729153,406.8314119,438.8273413,469.5794801,495.1514634
13,36005003300,130.2350575,168.6009737,198.0625905,244.8295196,228.4146372,259.115113,273.013563,334.2209429,392.3311751,423.1865083,452.8416968,477.5027348
14,36005003500,122.7013145,158.8479734,186.6046299,230.6665062,215.2020798,244.1267356,257.2220981,314.8883288,369.6374928,398.7084326,426.6479582,449.8822971
15,36005003700,144.8471409,187.5176276,220.2847714,272.2988461,254.0422514,288.1872523,303.6450784,371.7197895,436.3498609,470.6670943,503.6495286,531.07748
